"filename", "language", "HTML", "XML", "JSON", "C#", "CSS", "JavaScript", "Java", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\demo\demo\demo\css\index.css", "CSS", 0, 0, 0, 0, 70, 0, 0, 0, 14, 84
"c:\Users\Administrator\Desktop\demo\demo\demo\css\ruler.min.css", "CSS", 0, 0, 0, 0, 115, 0, 0, 0, 23, 138
"c:\Users\Administrator\Desktop\demo\demo\demo\index.html", "HTML", 452, 0, 0, 0, 0, 0, 0, 9, 14, 475
"c:\Users\Administrator\Desktop\demo\demo\demo\js\JsBarcode.all.min.js", "JavaScript", 0, 0, 0, 0, 0, 3849, 0, 1, 1, 3851
"c:\Users\Administrator\Desktop\demo\demo\demo\js\html2canvas.js", "JavaScript", 0, 0, 0, 0, 0, 6661, 0, 266, 108, 7035
"c:\Users\Administrator\Desktop\demo\demo\demo\js\index.js", "JavaScript", 0, 0, 0, 0, 0, 683, 0, 138, 56, 877
"c:\Users\Administrator\Desktop\demo\demo\demo\js\jquery-3.2.1.min.js", "JavaScript", 0, 0, 0, 0, 0, 5363, 0, 1, 2, 5366
"c:\Users\Administrator\Desktop\demo\demo\demo\js\jquery-ui.js", "JavaScript", 0, 0, 0, 0, 0, 16644, 0, 871, 1191, 18706
"c:\Users\Administrator\Desktop\demo\demo\demo\js\qrcode.min.js", "JavaScript", 0, 0, 0, 0, 0, 3621, 0, 1, 3, 3625
"c:\Users\Administrator\Desktop\demo\demo\demo\js\ref-line.min.js", "JavaScript", 0, 0, 0, 0, 0, 223, 0, 0, 1, 224
"c:\Users\Administrator\Desktop\demo\demo\demo\js\ruler.js", "JavaScript", 0, 0, 0, 0, 0, 452, 0, 3, 48, 503
"c:\Users\Administrator\Desktop\demo\demo\demo\js\z-Dragify.js", "JavaScript", 0, 0, 0, 0, 0, 116, 0, 0, 1, 117
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\emotion\emotion.css", "CSS", 0, 0, 0, 0, 74, 0, 0, 0, 14, 88
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\emotion\emotion.js", "JavaScript", 0, 0, 0, 0, 0, 209, 0, 9, 55, 273
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\formula\formula.css", "CSS", 0, 0, 0, 0, 32, 0, 0, 0, 0, 32
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\formula\formula.html", "HTML", 196, 0, 0, 0, 0, 0, 0, 0, 16, 212
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\formula\formula.js", "JavaScript", 0, 0, 0, 0, 0, 100, 0, 6, 19, 125
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\image\image.css", "CSS", 0, 0, 0, 0, 30, 0, 0, 3, 10, 43
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\image\image.js", "JavaScript", 0, 0, 0, 0, 0, 338, 0, 22, 86, 446
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\link\link.js", "JavaScript", 0, 0, 0, 0, 0, 67, 0, 3, 4, 74
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\map\map.html", "HTML", 131, 0, 0, 0, 0, 0, 0, 2, 15, 148
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\map\map.js", "JavaScript", 0, 0, 0, 0, 0, 218, 0, 4, 42, 264
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\video\video.css", "CSS", 0, 0, 0, 0, 55, 0, 0, 1, 3, 59
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\video\video.js", "JavaScript", 0, 0, 0, 0, 0, 220, 0, 33, 30, 283
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\jsp\Uploader.java", "Java", 0, 0, 0, 0, 0, 0, 189, 45, 27, 261
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\jsp\getContent.jsp", "HTML", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\jsp\imageUp.jsp", "HTML", 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\lang\en\en.js", "JavaScript", 0, 0, 0, 0, 0, 145, 0, 4, 1, 150
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\lang\zh-cn\zh-cn.js", "JavaScript", 0, 0, 0, 0, 0, 143, 0, 4, 3, 150
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\themes\default\css\umeditor.css", "CSS", 0, 0, 0, 0, 678, 0, 0, 28, 67, 773
"c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\themes\default\css\umeditor.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 5, 2, 8
